StudentID,Department,CGPA,ChatGPT_Usage_Frequency_Per_Week,Average_Session_Duration_Minutes,Reason_For_Using_ChatGPT,Aptitude_Score
1,EXTC,7.55,2,16,saves time,4
2,IT,7.23,17,119,saves time,1
3,EXTC,8.11,13,62,no idea,2
4,EXTC,6.65,17,18,better answers,0
5,IT,5.42,1,91,no idea,0
6,IT,7.5,2,57,better answers,3
7,EXTC,7.66,15,54,better answers,4
8,Comp,6.96,8,89,better answers,3
9,EXTC,7.7,3,100,better answers,5
10,EXTC,6.73,0,89,better answers,4
11,EXTC,6.83,3,116,saves time,4
12,EXTC,6.5,0,61,no idea,3
13,IT,5.09,13,22,saves time,0
14,EXTC,5.38,20,8,better answers,0
15,Comp,5.11,15,11,no idea,0
16,IT,7.23,19,116,better answers,1
17,Comp,6.1,7,0,no idea,0
18,Comp,6.78,6,57,saves time,3
19,Comp,8.18,2,0,no idea,3
20,Comp,5.87,16,110,no idea,0
21,IT,6.44,0,33,no idea,2
22,IT,7.64,15,95,no idea,1
23,Comp,5.8,11,117,no idea,0
24,Comp,5.27,18,47,better answers,0
25,IT,6.01,13,88,no idea,0
26,IT,5.56,5,103,no idea,0
27,IT,8.25,5,108,saves time,4
28,EXTC,7.83,12,116,no idea,3
29,EXTC,7.22,18,0,saves time,1
30,EXTC,8.05,7,15,better answers,5
31,Comp,7.81,1,60,no idea,3
32,EXTC,5.65,20,102,saves time,0
33,Comp,8.12,0,63,saves time,5
34,Comp,6.89,14,62,better answers,1
35,EXTC,7.83,0,68,no idea,3
36,Comp,8.14,4,21,no idea,6
37,EXTC,6.11,15,92,saves time,0
38,EXTC,5.39,18,118,no idea,0
39,IT,5.8,3,66,saves time,0
40,EXTC,6.49,2,75,no idea,0
41,IT,7.86,16,25,saves time,2
42,EXTC,8.01,16,15,no idea,2
43,EXTC,5.02,11,50,better answers,0
44,IT,6.79,13,100,no idea,0
45,IT,6.46,20,85,no idea,0
46,EXTC,5.78,5,56,better answers,1
47,Comp,5.42,2,28,no idea,0
48,IT,6.18,8,77,better answers,2
49,Comp,8.3,4,91,no idea,5
50,Comp,6.13,16,68,saves time,0
51,Comp,6.82,13,46,saves time,0
52,IT,7.46,20,112,no idea,0
53,Comp,6.27,2,93,no idea,2
54,IT,8.4,0,109,no idea,5
55,Comp,8.37,19,61,saves time,3
56,EXTC,5.88,20,115,no idea,0
57,EXTC,6.74,0,68,saves time,5
58,IT,6.05,2,75,better answers,1
59,EXTC,6.0,17,15,saves time,0
60,EXTC,5.13,9,89,saves time,0
61,Comp,7.13,2,89,better answers,3
62,IT,6.76,7,47,saves time,2
63,Comp,5.18,13,84,no idea,0
64,Comp,5.98,17,38,no idea,0
65,Comp,8.18,14,99,saves time,4
66,Comp,5.84,1,32,no idea,1
67,Comp,5.51,9,93,saves time,1
68,Comp,6.71,1,100,no idea,2
69,Comp,8.45,16,22,no idea,2
70,IT,5.85,7,9,saves time,2
71,EXTC,7.35,0,117,no idea,2
72,Comp,7.67,8,68,saves time,3
73,Comp,5.83,10,99,no idea,0
74,Comp,7.55,15,33,no idea,0
75,Comp,6.29,6,51,better answers,2
76,Comp,7.21,9,94,better answers,2
77,Comp,7.22,2,9,saves time,1
78,EXTC,6.88,17,18,better answers,1
79,EXTC,5.32,12,57,saves time,0
80,Comp,7.92,6,95,better answers,6
81,EXTC,6.12,3,0,no idea,0
82,IT,5.65,12,119,saves time,1
83,Comp,5.14,19,68,saves time,0
84,IT,7.07,0,108,no idea,2
85,IT,7.37,7,3,saves time,5
86,Comp,5.06,13,15,saves time,0
87,EXTC,6.79,15,23,better answers,1
88,IT,5.79,13,79,saves time,0
89,Comp,7.26,11,118,no idea,1
90,IT,5.61,18,1,better answers,0
91,IT,7.42,14,112,better answers,3
92,IT,6.35,1,91,no idea,3
93,IT,8.28,1,31,no idea,5
94,EXTC,5.48,18,90,better answers,0
95,IT,6.19,16,83,saves time,0
96,IT,5.4,19,23,better answers,0
97,IT,8.24,9,11,no idea,3
98,EXTC,8.07,5,49,better answers,6
99,IT,5.9,14,34,no idea,0
100,IT,7.31,10,32,better answers,3
101,EXTC,7.86,4,32,saves time,5
102,EXTC,6.94,0,60,better answers,5
103,EXTC,6.85,7,50,better answers,3
104,IT,5.85,20,42,no idea,0
105,EXTC,5.33,11,100,no idea,0
106,EXTC,8.14,11,11,no idea,4
107,IT,8.15,4,66,better answers,6
108,EXTC,7.22,6,64,saves time,2
109,IT,6.19,3,32,no idea,1
